0.08 0.14 0.30 0.04 0.04 0.01 0.04 0.03 0.03 0.00 0.05
0.04 0.06 0.20 0.04 0.04 0.01 0.04 0.02 0.03 0.00 0.06
2.34 2.26 4.46 0.79 0.47 0.10 0.34 0.20 0.24 0.01 0.31
0.09 0.14 0.40 0.07 0.07 0.02 0.06 0.04 0.05 0.00 0.07
0.03 0.03 0.08 0.03 0.03 0.01 0.03 0.03 0.04 0.00 0.21
0.05 0.04 0.15 0.04 0.03 0.01 0.04 0.03 0.04 0.00 0.13
0.05 0.06 0.24 0.06 0.06 0.02 0.07 0.05 0.08 0.00 0.25
0.04 0.03 0.10 0.04 0.03 0.02 0.02 0.00 0.01 0.00 0.07
0.00 0.19 0.40 0.07 0.06 0.01 0.03 0.02 0.03 0.00 0.04
